Изображение;Название;Цена;Описание;Артикул;"Ссылка на товар"
https://versal.ua/images/uploads//7e6fae9f57e01abc8633a69b53534750.jpg;"Спортивный костюм женский с брюками черный";615;"Спортивный костюм женский с брюками черный
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58 + 50грн";"Код: 01879";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-s-bryukami-chernyy.html
https://versal.ua/images/uploads//4ae0be737b64a32deefbc6ed45ca8eb5.jpg;"Спортивный костюм женский с брюками бордо";615;"Спортивный костюм женский с брюками бордо
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58 + 50грн";"Код: 01879";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-s-bryukami-bordo.html
https://versal.ua/images/uploads/image1517330421ap7exY.jpg;"Спортивный костюм с серебряным лампасом бирюза";651;"Спортивный костюм с серебряным лампасом бирюза
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 +50 грн
 
 
 ";"Код: 01782";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-serebryanym-lampasom-biryuza.html
https://versal.ua/images/uploads/image1517330418r6yn89.jpg;"Спортивный костюм с серебряным лампасом св-серый";651;"Спортивный костюм с серебряным лампасом св-серый
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 +50 грн
 
 ";"Код: 01782";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-serebryanym-lampasom-sv-seryy.html
https://versal.ua/images/uploads/image1517330416O0JtMS.jpg;"Спортивный костюм с серебряным лампасом персик";651;"Спортивный костюм с серебряным лампасом персик
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 +50 грн
 
 
 ";"Код: 01782";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-s-serebryanym-lampasom-persik.html
https://versal.ua/images/uploads//aad588339e9231cebef706ad5cfb2864.jpg;"Женский спортивный костюм св-серый";651;"Женский спортивный костюм св-серый, штаны прямые
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 + 70 грн
 
 
 ";"Код: 01721";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-biryuza.html
https://versal.ua/images/uploads/image15173303699ZjQ5i.jpg;"Женский спортивный костюм персик";651;"Женский спортивный костюм персик, штаны прямые
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 + 70 грн
 
 
 ";"Код: 01721";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-persik.html
https://versal.ua/images/uploads/image1517330246vMHquf.jpg;"Костюм женский с лампасом Love св-серый";639;"Костюм женский с лампасом Love св-серый, штаны прямые
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 + 50 грн
 
 
 ";"Код: 01786";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-s-lampasom-love-sv-seryy.html
https://versal.ua/images/uploads/image1517330243E0uOus.jpg;"Костюм женский с лампасом Love бордо";639;"Костюм женский с лампасом Love бордо, штаны прямые
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 + 50 грн
 
 
 ";"Код: 01786";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-s-lampasom-love-bordo.html
https://versal.ua/images/uploads/image1517330242GhZrUU.jpg;"Костюм женский с лампасом Love персик";639;"Костюм женский с лампасом Love персик, штаны прямые
Ткань: трикотаж петля-шерсть
Размер: 42, 44, 46,      48-50, 52-54, 56-58 + 50 грн
 
 
 ";"Код: 01786";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-s-lampasom-love-persik.html
